"ntwk","wyear","state","site_name","ts","start","enddate","latitude","longitude","elev_ft","county","huc","site_id"
"SNTL","1979","MT","Copper Camp","","1978-October","2100-January","  47.08","-112.73","   6950","Lewis And Clark","Copper Creek (170102030103)","SNTL:414"
"SNTL","1979","MT","S Fork Shields","","1978-October","2100-January","  46.09","-110.43","   8100","Park","Bennett Creek-Shields River (100700030301)","SNTL:725"
"SNTL","1979","MT","Wood Creek","","1978-October","2100-January","  47.45","-112.81","   5960","Lewis And Clark","Wood Creek (100301040202)","SNTL:876"
"SNTL","1979","NM","Bateman","","1978-October","2100-January","  36.51","-106.32","   9300","Rio Arriba","Montoya Canyon-Canjilon Creek (130201020901)","SNTL:316"
"SNTL","1979","NM","Chamita","","1978-October","2100-January","  36.96","-106.66","   8400","Rio Arriba","Rio Chamita (130201020204)","SNTL:394"
"SNTL","1979","NM","Hopewell","","1978-October","2100-January","  36.72","-106.26","  10000","Rio Arriba","Jarosa Creek-Rio Vallecitos (130201021401)","SNTL:532"
"SNTL","1979","NM","Lookout Mountain","","1978-October","2100-January","  33.36","-107.83","   8500","Sierra","Taylor Creek (150400010402)","SNTL:595"
"SNTL","1979","NM","North Costilla","","1978-October","2100-January","  36.99","-105.26","  10600","Taos","Casias Creek-Costillo Creek (130201010101)","SNTL:665"
"SNTL","1979","NM","Red River Pass #2","","1978-October","2100-January","  36.70","-105.34","   9850","Colfax","Upper Red River (130201010301)","SNTL:715"
"SNTL","1979","NM","Signal Peak","","1978-October","2100-January","  32.92","-108.15","   8360","Grant","Lake Roberts-Sapillo Creek (150400010803)","SNTL:755"
"SNTL","1979","NM","Silver Creek Divide","","1978-October","2100-January","  33.37","-108.71","   9000","Catron","Mineral Creek (150400040605)","SNTL:757"
"SNTL","1979","NV","Big Bend","","1978-October","2100-January","  41.76","-115.69","   6898","Elko","Martin Creek (170501040104)","SNTL:336"
"SNTL","1979","NV","Corral Canyon","","1978-October","2100-January","  40.28","-115.54","   8445","Elko","Corral Creek (160401030401)","SNTL:417"
"SNTL","1979","NV","Dorsey Basin","","1978-October","2100-January","  40.89","-115.21","   7903","Elko","Lower Secret Creek (160401010604)","SNTL:453"
"SNTL","1979","NV","Jack Creek Upper","","1978-October","2100-January","  41.55","-116.01","   7377","Elko","Upper Harrington Creek (170501050201)","SNTL:548"
"SNTL","1979","NV","Marlette Lake","","1978-October","2100-January","  39.16","-119.90","   7884","Carson City","Sand Harbor-Frontal Lake Tahoe (160501010201)","SNTL:615"
"SNTL","1979","NV","Seventysix Creek","","1978-October","2100-January","  41.74","-115.47","   7350","Elko","Annie Creek-Bruneau River (170501020108)","SNTL:746"
"SNTL","1979","OR","Arbuckle Mtn","","1978-October","2100-January","  45.19","-119.25","   5770","Morrow","Upper Fivemile Creek (170702020604)","SNTL:304"
"SNTL","1979","OR","Billie Creek Divide","","1978-October","2100-January","  42.41","-122.27","   5280","Klamath","Seldom Creek (180102030201)","SNTL:344"
"SNTL","1979","OR","Blue Mountain Spring","","1978-October","2100-January","  44.25","-118.52","   5870","Grant","Summit Creek (170501160104)","SNTL:357"
"SNTL","1979","OR","Bourne","","1978-October","2100-January","  44.83","-118.19","   5850","Baker","Cracker Creek (170502030101)","SNTL:361"
"SNTL","1979","OR","Bowman Springs","","1978-October","2100-January","  45.36","-118.47","   4530","Umatilla","Johnson Creek (170701030401)","SNTL:362"
"SNTL","1979","OR","Daly Lake","","1978-October","2100-January","  44.52","-122.09","   3690","Linn","Pyramid Creek (170900060101)","SNTL:434"
"SNTL","1979","OR","Fish Creek","","1978-October","2100-January","  42.71","-118.63","   7660","Harney","Fish Creek (171200030107)","SNTL:477"
"SNTL","1979","OR","Fourmile Lake","","1978-October","2100-January","  42.44","-122.23","   5970","Klamath","Upper Fourmile Creek (180102030202)","SNTL:483"
"SNTL","1979","OR","Greenpoint","","1978-October","2100-January","  45.62","-121.70","   3310","Hood River","Lower West Fork Hood River (170701050603)","SNTL:504"
"SNTL","1979","OR","High Ridge","","1978-October","2100-January","  45.70","-118.11","   4920","Umatilla","Buck Creek-South Fork Umatilla River (170701030103)","SNTL:523"
"SNTL","1979","OR","Hogg Pass","","1978-October","2100-January","  44.42","-121.86","   4790","Linn","Parks Creek-Lost Lake (170900040201)","SNTL:526"
"SNTL","1979","OR","Irish Taylor","","1978-October","2100-January","  43.80","-121.95","   5540","Deschutes","Deer Creek (170703010106)","SNTL:545"
"SNTL","1979","OR","Jump Off Joe","","1978-October","2100-January","  44.39","-122.17","   3520","Linn","Sevenmile Creek-South Santiam River (170900060201)","SNTL:552"
"SNTL","1979","OR","Lake Creek R.S.","","1978-October","2100-January","  44.21","-118.64","   5240","Grant","Lake Creek (170501160102)","SNTL:563"
"SNTL","1979","OR","Little Meadows","","1978-October","2100-January","  44.61","-122.23","   4020","Linn","Headwaters Quartzville Creek (170900060301)","SNTL:584"
"SNTL","1979","OR","Lucky Strike","","1978-October","2100-January","  45.27","-118.85","   4970","Umatilla","West Birch Creek (170701030606)","SNTL:605"
"SNTL","1979","OR","Mud Ridge","","1978-October","2100-January","  45.25","-121.74","   4070","Clackamas","Upper Salmon River (170800010302)","SNTL:655"
"SNTL","1979","OR","North Fork","","1978-October","2100-January","  45.55","-122.00","   3060","Multnomah","Middle Bull Run River (170800010503)","SNTL:666"
"SNTL","1979","OR","Red Hill","","1978-October","2100-January","  45.46","-121.70","   4410","Hood River","Lower Middle Fork Hood River (170701050505)","SNTL:712"
"SNTL","1979","OR","Saddle Mountain","","1978-October","2100-January","  45.54","-123.37","   3110","Washington","Headwaters Tualatin River (170900100201)","SNTL:726"
"SNTL","1979","OR","Santiam Jct.","","1978-October","2100-January","  44.44","-121.95","   3740","Linn","Parks Creek-Lost Lake (170900040201)","SNTL:733"
"SNTL","1979","OR","Silvies","","1978-October","2100-January","  42.75","-118.69","   6990","Harney","Mud Creek (171200030201)","SNTL:759"
"SNTL","1979","OR","Snow Mountain","","1978-October","2100-January","  43.95","-119.54","   6230","Harney","Crowsfoot Creek-Emigrant Creek (171200020501)","SNTL:767"
"SNTL","1979","OR","Summer Rim","","1978-October","2100-January","  42.70","-120.80","   7080","Lake","Headwaters Sycan River (180102020103)","SNTL:800"
"SNTL","1979","OR","Summit Lake","","1978-October","2100-January","  43.45","-122.14","   5610","Klamath","Summit Lake (170703020203)","SNTL:801"
"SNTL","1979","OR","Taylor Butte","","1978-October","2100-January","  42.69","-121.43","   5030","Klamath","Chester Spring-Sycan River (180102020606)","SNTL:810"
"SNTL","1979","OR","Taylor Green","","1978-October","2100-January","  45.08","-117.55","   5740","Baker","South Fork Catherine Creek (170601040502)","SNTL:812"
"SNTL","1979","OR","Tipton","","1978-October","2100-January","  44.66","-118.43","   5150","Baker","Upper North Fork Burnt River (170502020101)","SNTL:821"
"SNTL","1979","OR","Wolf Creek","","1978-October","2100-January","  45.07","-118.15","   5630","Union","Upper Wolf Creek (170502030601)","SNTL:873"
"SNTL","1979","UT","Beaver Divide","","1978-October","2100-January","  40.61","-111.10","   8280","Summit","Shingle Creek-Provo River (160202030105)","SNTL:330"
"SNTL","1979","UT","Ben Lomond Peak","","1978-October","2100-January","  41.38","-111.94","   7689","Weber","Cutler Creek-North Fork Ogden River (160201020302)","SNTL:332"
"SNTL","1979","UT","Big Flat","","1978-October","2100-January","  38.30","-112.36","  10349","Beaver","Three Creeks (160300070202)","SNTL:339"
"SNTL","1979","UT","Box Creek","","1979-August","2100-January","  38.51","-112.02","   9853","Sevier","Greenwich Creek (160300020106)","SNTL:364"
"SNTL","1979","UT","Brown Duck","","1978-October","2100-January","  40.58","-110.59","  10574","Duchesne","Brown Duck Creek-Lake Fork River (140600030604)","SNTL:368"
"SNTL","1979","UT","Buck Flat","","1978-October","2100-January","  39.13","-111.44","   9409","Sanpete","Ferron Reservoir-Ferron Creek (140600090302)","SNTL:371"
"SNTL","1979","UT","Bug Lake","","1978-October","2100-January","  41.69","-111.42","   7987","Rich","Laketown Canyon (160102010102)","SNTL:374"
"SNTL","1979","UT","Chalk Creek #1","","1978-October","2100-January","  40.85","-111.05","   9171","Summit","East Fork Chalk Creek (160201010301)","SNTL:392"
"SNTL","1979","UT","Chalk Creek #2","","1978-October","2100-January","  40.89","-111.07","   8208","Summit","East Fork Chalk Creek (160201010301)","SNTL:393"
"SNTL","1979","UT","Clear Creek #2","","1978-October","2100-January","  39.89","-111.25","   7837","Utah","Upper Soldier Creek (160202020102)","SNTL:400"
"SNTL","1979","UT","Currant Creek","","1978-October","2100-January","  40.36","-111.09","   7915","Wasatch","Current Creek Reservoir (140600040401)","SNTL:432"
"SNTL","1979","UT","Daniels-Strawberry","","1978-October","2100-January","  40.30","-111.26","   8008","Wasatch","Willow Creek-Strawberry River (140600040101)","SNTL:435"
"SNTL","1979","UT","Dills Camp","","1978-October","2100-January","  39.05","-111.47","   9228","Sanpete","Beaver Creek (140700020201)","SNTL:444"
"SNTL","1979","UT","Dry Bread Pond","","1978-October","2100-January","  41.41","-111.54","   8302","Cache","Headwaters East Fork Little Bear River Canyon (160102030101)","SNTL:455"
"SNTL","1979","UT","Farmington","","1978-October","2100-January","  40.97","-111.81","   7902","Davis","Farmington Creek-Frontal Farmington Bay (160201020502)","SNTL:474"
"SNTL","1979","UT","Gooseberry RS","","1979-June","2100-January","  38.80","-111.68","   7944","Sevier","Gooseberry Creek (160300030405)","SNTL:495"
"SNTL","1979","UT","Harris Flat","","1979-August","2100-January","  37.49","-112.58","   7792","Kane","Swains Creek (160300010104)","SNTL:514"
"SNTL","1979","UT","Hayden Fork","","1978-October","2100-January","  40.80","-110.88","   9130","Summit","Hayden Fork (160101010101)","SNTL:517"
"SNTL","1979","UT","Horse Ridge","","1978-October","2100-January","  41.31","-111.45","   8199","Morgan","Blue Fork Creek (160201010601)","SNTL:533"
"SNTL","1979","UT","Indian Canyon","","1978-October","2100-January","  39.89","-110.75","   9171","Duchesne","Left Fork Indian Canyon (140600040701)","SNTL:543"
"SNTL","1979","UT","Kings Cabin","","1978-October","2100-January","  40.72","-109.54","   8728","Uintah","Middle Little Brush Creek (140600100303)","SNTL:559"
"SNTL","1979","UT","Kolob","","1978-October","2100-January","  37.53","-113.05","   9263","Iron","Crystal Creek (150100080102)","SNTL:561"
"SNTL","1979","UT","Lakefork #1","","1978-October","2100-January","  40.60","-110.43","  10128","Duchesne","Crystal Creek-Yellowstone River (140600030705)","SNTL:566"
"SNTL","1979","UT","Little Bear","","1978-October","2100-January","  41.41","-111.83","   6548","Cache","South Fork Little Bear River (160102030103)","SNTL:582"
"SNTL","1979","UT","Long Flat","","1979-September","2100-January","  37.51","-113.40","   7982","Washington","Pinto Creek (160300061403)","SNTL:592"
"SNTL","1979","UT","Mammoth-Cottonwood","","1978-October","2100-January","  39.68","-111.32","   8709","Sanpete","Cottonwood Canyon-San Pitch River (160300040203)","SNTL:612"
"SNTL","1979","UT","Monte Cristo","","1978-October","2100-January","  41.47","-111.50","   8932","Cache","Sheep Creek (160102030201)","SNTL:634"
"SNTL","1979","UT","Mosby Mtn.","","1978-October","2100-January","  40.61","-109.89","   9553","Uintah","Mosby Sink-Dry Fork (140600100702)","SNTL:643"
"SNTL","1979","UT","Parleys Summit","","1978-October","2100-January","  40.76","-111.63","   7585","Summit","Big Dutch Hollow-East Canyon Creek (160201020103)","SNTL:684"
"SNTL","1979","UT","Pickle Keg","","1978-October","2100-January","  39.01","-111.58","   9020","Sevier","Skumpah Creek-Salina Creek (160300030402)","SNTL:691"
"SNTL","1979","UT","Red Pine Ridge","","1978-October","2100-January","  39.45","-111.27","   8988","Emery","Lowry Water (140600090202)","SNTL:714"
"SNTL","1979","UT","Seeley Creek","","1978-October","2100-January","  39.31","-111.43","   9904","Sanpete","Seely Creek (140600090203)","SNTL:742"
"SNTL","1979","UT","Smith  Morehouse","","1978-October","2100-January","  40.79","-111.09","   7631","Summit","Moffit Creek-Weber River (160201010203)","SNTL:763"
"SNTL","1979","UT","Steel Creek Park","","1978-October","2100-January","  40.91","-110.50","  10158","Summit","West Fork Smiths Fork (140401070203)","SNTL:790"
"SNTL","1979","UT","Strawberry Divide","","1978-October","2100-January","  40.16","-111.21","   8123","Wasatch","Mud Creek (140600040103)","SNTL:795"
"SNTL","1979","UT","Timpanogos Divide","","1978-October","2100-January","  40.43","-111.62","   8140","Utah","Middle American Fork Canyon (160202010802)","SNTL:820"
"SNTL","1979","UT","Tony Grove Lake","","1978-October","2100-January","  41.90","-111.63","   8474","Cache","Tony Grove Creek (160102030304)","SNTL:823"
"SNTL","1979","UT","Trial Lake","","1978-October","2100-January","  40.68","-110.95","   9992","Summit","Spring Canyon-Provo River (160202030102)","SNTL:828"
"SNTL","1979","UT","Trout Creek","","1978-October","2100-January","  40.74","-109.67","   9518","Uintah","North Fork Ashley Creek (140600100802)","SNTL:833"
"SNTL","1979","UT","Vernon Creek","","1978-October","2100-January","  39.94","-112.41","   7401","Tooele","Vernon Creek (160203040102)","SNTL:844"
"SNTL","1979","UT","White River #1","","1978-October","2100-January","  39.96","-110.99","   8641","Wasatch","Right Fork White River (140600070102)","SNTL:864"
"SNTL","1979","UT","Widtsoe #3","","1978-October","2100-January","  37.84","-111.88","   9640","Garfield","Sweetwater Creek (160300020403)","SNTL:865"
"SNTL","1979","WA","Bumping Ridge","","1978-October","2100-January","  46.81","-121.33","   4610","Yakima","Upper Bumping River (170300020105)","SNTL:375"
"SNTL","1979","WA","Lone Pine","","1978-October","2100-January","  46.27","-121.96","   3930","Skamania","Upper Clear Creek (170800020203)","SNTL:591"
"SNTL","1979","WA","Lyman Lake","","1978-October","2100-January","  48.20","-120.92","   5980","Chelan","Upper Railroad Creek (170200090203)","SNTL:606"
"SNTL","1979","WA","Morse Lake","","1978-October","2100-January","  46.91","-121.48","   5410","Yakima","Upper American River (170300020106)","SNTL:642"
"SNTL","1979","WA","Park Creek Ridge","","1978-October","2100-January","  48.44","-120.92","   4600","Chelan","Park Creek-Stehekin River (170200090106)","SNTL:681"
"SNTL","1979","WA","Surprise Lakes","","1978-October","2100-January","  46.09","-121.76","   4290","Skamania","Big Creek (170800020107)","SNTL:804"
"SNTL","1979","WA","Trough","","1978-October","2100-January","  47.23","-120.29","   5480","Chelan","Colockum Creek (170200100402)","SNTL:832"
"SNTL","1979","WY","Blind Bull Sum","","1978-October","2100-January","  42.96","-110.61","   8650","Sublette","Upper Horse Creek (140401010501)","SNTL:353"
"SNTL","1979","WY","Bone Springs Div","","1978-October","2100-January","  44.68","-107.58","   9350","Sheridan","Cedar Creek (100800100103)","SNTL:358"
"SNTL","1979","WY","Burroughs Creek","","1978-October","2100-January","  43.70","-109.67","   8750","Fremont","Middle Horse Creek (100800010202)","SNTL:379"
"SNTL","1979","WY","Cloud Peak Reservoir","","1978-October","2100-January","  44.40","-107.06","   9860","Johnson","Upper South Piney Creek (100902060301)","SNTL:402"
"SNTL","1979","WY","Dome Lake","","1978-October","2100-January","  44.57","-107.30","   8880","Sheridan","West Fork Big Goose Creek (100901010203)","SNTL:451"
"SNTL","1979","WY","Hobbs Park","","1978-October","2100-January","  42.87","-109.09","  10100","Fremont","Sand Creek (100800030203)","SNTL:525"
"SNTL","1979","WY","Laprele Creek","","1978-October","2100-January","  42.44","-105.86","   8375","Converse","Upper La Prele Creek (101800071301)","SNTL:571"
"SNTL","1979","WY","Little Warm","","1978-October","2100-January","  43.50","-109.75","   9370","Fremont","Little Warm Spring Creek-Wind River (100800010109)","SNTL:585"
"SNTL","1979","WY","Middle Powder","","1978-October","2100-January","  43.63","-107.18","   7760","Washakie","Little Canyon Creek (100800080106)","SNTL:625"
"SNTL","1979","WY","Shell Creek","","1978-October","2100-January","  44.50","-107.43","   9580","Big Horn","Willett Creek-Shell Creek (100800100101)","SNTL:751"
"SNTL","1979","WY","Spring Creek Divide","","1978-October","2100-January","  42.53","-110.66","   9000","Sublette","Headwaters La Barge Creek (140401011101)","SNTL:779"
"SNTL","1979","WY","Sucker Creek","","1978-October","2100-January","  44.72","-107.40","   8880","Sheridan","Upper South Tongue River (100901010103)","SNTL:798"
"SNTL","1979","WY","Sylvan Lake","","1978-October","2100-January","  44.48","-110.16","   8420","Park","Clear Creek (100700010406)","SNTL:806"
"SNTL","1978","CA","Cedar Pass","","1977-October","2100-January","  41.58","-120.30","   7030","Modoc","Thoms Creek (180200020603)","SNTL:391"
"SNTL","1978","ID","Mores Creek Summit","","1978-September","2100-January","  43.93","-115.67","   6100","Boise","Middle Crooked River (170501110503)","SNTL:637"
"SNTL","1978","MT","Mule Creek","","1977-October","2100-January","  45.41","-112.96","   8300","Beaverhead","Birch Creek (100200041303)","SNTL:656"
"SNTL","1978","MT","Nevada Ridge","","1977-October","2100-January","  46.84","-112.51","   7020","Lewis And Clark","Poorman Creek (170102030302)","SNTL:903"
"SNTL","1978","MT","Skylark Trail","","1977-October","1992-February","  47.37","-113.78","   6200","Missoula","Headwaters Swan River (170102110102)","SNTL:255"
"SNTL","1978","UT","Clear Creek #1","","1978-January","2100-January","  39.87","-111.28","   8975","Utah","Upper Soldier Creek (160202020102)","SNTL:399"
"SNTL","1978","WY","St. Lawrence","","1978-August","1994-October","  43.03","-109.20","   8960","Fremont","Saint Lawrence Creek (100800020106)","SNTL:268"
"SNTL","1977","MT","Barker Lakes","","1977-August","2100-January","  46.10","-113.13","   8250","Deer Lodge","Warm Springs Creek-West Valley (170102010304)","SNTL:313"
"SNTL","1977","MT","Basin Creek","","1976-October","2100-January","  45.80","-112.52","   7180","Silver Bow","Basin Creek (170102010201)","SNTL:315"
"SNTL","1977","MT","Beagle Springs","","1976-October","2100-January","  44.47","-112.98","   8850","Beaverhead","Upper Nicholia Creek (100200010501)","SNTL:318"
"SNTL","1977","MT","Bloody Dick","","1976-October","2100-January","  45.17","-113.50","   7600","Beaverhead","Upper Bloody Dick Creek (100200011002)","SNTL:355"
"SNTL","1977","MT","Boulder Mountain","","1976-October","2100-January","  46.56","-111.29","   7950","Meagher","Upper Camas Creek (100301030501)","SNTL:360"
"SNTL","1977","MT","Box Canyon","","1976-October","2100-January","  45.27","-110.25","   6670","Park","East Fork Boulder River (100700020901)","SNTL:363"
"SNTL","1977","MT","Daisy Peak","","1977-September","2100-January","  46.67","-110.33","   7600","Meagher","Mud Creek (100402010106)","SNTL:919"
"SNTL","1977","MT","Darkhorse Lake","","1977-August","2100-January","  45.17","-113.58","   8600","Beaverhead","Headwaters Big Hole River (100200040301)","SNTL:436"
"SNTL","1977","MT","Hand Creek","","1976-October","2100-January","  48.31","-114.84","   5035","Flathead","Squaw Meadows Creek (170102100304)","SNTL:510"
"SNTL","1977","MT","Lower Twin","","1976-October","2100-January","  45.51","-111.92","   7900","Madison","Upper North Meadow Creek (100200071101)","SNTL:603"
"SNTL","1977","MT","Many Glacier","","1976-October","2100-January","  48.80","-113.67","   4900","Glacier","Swiftcurrent Lake (090400010201)","SNTL:613"
"SNTL","1977","MT","Monument Peak","","1976-October","2100-January","  45.22","-110.24","   8850","Park","East Fork Boulder River (100700020901)","SNTL:635"
"SNTL","1977","MT","Nevada Creek","","1977-August","1999-October","  46.83","-112.52","   6480","Lewis And Clark","Nevada Creek Headwaters (170102030401)","SNTL:659"
"SNTL","1977","MT","Pickfoot Creek","","1977-June","2100-January","  46.58","-111.27","   6650","Meagher","Upper Camas Creek (100301030501)","SNTL:690"
"SNTL","1977","MT","Placer Basin","","1976-October","2100-January","  45.42","-110.09","   8830","Sweet Grass","Upper East Boulder River (100700020701)","SNTL:696"
"SNTL","1977","MT","Warm Springs","","1977-July","2100-January","  46.27","-113.16","   7800","Granite","Headwaters Warm Springs Creek (170102010302)","SNTL:850"
"SNTL","1977","NV","Goat Creek","","1977-February","1990-October","  41.83","-115.15","   8800","Elko","Canyon Creek (170402130107)","SNTL:257"
"SNTL","1977","NV","Pole Creek R.S.","","1977-February","2100-January","  41.87","-115.25","   8330","Elko","Upper Big Flat Creek (170501021002)","SNTL:698"
"SNTL","1977","UT","Atwood Lake","","1977-September","1989-October","  40.73","-110.28","  10840","Duchesne","Atwood Creek-Uinta River (140600031102)","SNTL:8082"
"SNTL","1976","CA","Wet Meadows","","1976-April","1993-October","  38.62","-119.87","   8050","Alpine","Pleasant Valley Creek (160502010106)","SNTL:246"
"SNTL","1976","MT","Emery Creek","","1975-October","2100-January","  48.43","-113.94","   4350","Flathead","Hungry Horse Creek (170102090703)","SNTL:469"
"SNTL","1976","MT","Porcupine","","1975-October","2100-January","  46.11","-110.47","   6500","Park","Porcupine Creek (100700030303)","SNTL:700"
"SNTL","1976","MT","Silver Run","","1975-October","1998-October","  45.15","-109.35","   6630","Carbon","Lower West Fork Rock Creek (100700060905)","SNTL:758"
"SNTL","1976","NV","Bear Creek","","1976-March","2100-January","  41.83","-115.45","   8040","Elko","West Fork Pine Creek-Jarbidge River (170501020301)","SNTL:321"
"SNTL","1976","NV","Mt. Rose","","1976-February","1989-October","  39.35","-119.88","   9000","Washoe","Galena Creek (160501020303)","SNTL:258"
"SNTL","1976","WY","Bald Mtn.","","1975-October","2100-January","  44.80","-107.84","   9380","Big Horn","Upper Porcupine Creek (100800100601)","SNTL:309"
"SNTL","1976","WY","Gros Ventre Summit","","1976-April","2100-January","  43.39","-110.13","   8750","Teton","Kinky Creek-Gros Ventre River (170401020202)","SNTL:506"
"SNTL","1976","WY","Phillips Bench","","1976-March","2100-January","  43.52","-110.91","   8200","Teton","Fish Creek (170401030103)","SNTL:689"
"SNTL","1976","WY","South Brush Creek","","1976-February","2100-January","  41.33","-106.50","   8440","Carbon","Barrett Creek-Brush Creek (101800020403)","SNTL:772"
"SNTL","1976","WY","Webber Springs","","1976-February","2100-January","  41.16","-106.93","   9250","Carbon","North Fork Encampment River (101800020507)","SNTL:852"
"SNTL","1975","MT","Calvert Creek","","1974-October","2100-January","  45.88","-113.33","   6430","Deer Lodge","Fishtrap Creek (100200040801)","SNTL:381"
"SNTL","1972","AK","Mt. Alyeska","","1971-October","2100-January","  60.96","-149.09","   1540","Anchorage","Glacier Creek (190203020702)","SNTL:1103"
"SNTL","1972","MT","Clover Meadow","","1971-October","2100-January","  45.02","-111.85","   8600","Madison","Ruby Creek (100200070803)","SNTL:403"
"SNTL","1972","MT","Tepee Creek","","1971-October","2100-January","  44.79","-111.71","   8000","Madison","Middle West Fork Madison River (100200070602)","SNTL:813"
"SNTL","1972","NM","Frisco Divide","","1971-October","2100-January","  33.74","-108.95","   8000","Catron","Stone Creek-San Francisco River (150400040303)","SNTL:486"
"SNTL","1971","AZ","White Horse Lake","","1970-November","2100-January","  35.14","-112.15","   7180","Coconino","Upper Hell Canyon (150602020204)","SNTL:861"
"SNTL","1971","MT","Divide","","1971-January","2100-January","  44.79","-112.06","   7800","Madison","Headwaters Ruby River (100200030102)","SNTL:448"
"SNTL","1971","MT","Lemhi Ridge","","1971-January","2100-January","  44.99","-113.44","   8100","Beaverhead","Trail Creek (100200011106)","SNTL:576"
"SNTL","1971","MT","Lubrecht Flume","","1970-October","2100-January","  46.88","-113.32","   4680","Missoula","Upper Elk Creek (170102031104)","SNTL:604"
"SNTL","1970","MT","Flattop Mtn.","","1969-October","2100-January","  48.80","-113.86","   6300","Flathead","McDonald Creek Headwaters (170102070501)","SNTL:482"
"SNTL","1969","MT","Badger Pass","","1968-October","2100-January","  48.13","-113.02","   6900","Flathead","North Badger Creek (100302010201)","SNTL:307"
"SNTL","1969","MT","Banfield Mountain","","1968-October","2100-January","  48.57","-115.45","   5600","Lincoln","Upper Fortine Creek (170101010702)","SNTL:311"
"SNTL","1969","MT","Garver Creek","","1968-October","2100-January","  48.98","-115.82","   4250","Lincoln","Upper West Fork Yaak River (170101030202)","SNTL:918"
"SNTL","1969","MT","Grave Creek","","1968-October","2100-January","  48.91","-114.77","   4300","Flathead","Canada (170101010301)","SNTL:500"
"SNTL","1969","MT","Hawkins Lake","","1968-October","2100-January","  48.97","-115.95","   6450","Lincoln","Canada (170101050103)","SNTL:516"
"SNTL","1969","MT","Mount Lockhart","","1968-October","2100-January","  47.92","-112.82","   6400","Teton","Middle North Fork Teton River (100302050102)","SNTL:649"
"SNTL","1969","MT","Poorman Creek","","1968-October","2100-January","  48.13","-115.62","   5100","Lincoln","Upper Grave Creek (170101010801)","SNTL:932"
"SNTL","1969","MT","Stahl Peak","","1968-October","2100-January","  48.91","-114.86","   6030","Lincoln","Canada (170101010301)","SNTL:787"
"SNTL","1969","MT","Waldron","","1968-October","2100-January","  47.92","-112.79","   5600","Teton","Middle North Fork Teton River (100302050102)","SNTL:847"
"SNTL","1968","MT","Black Bear","","1967-October","2100-January","  44.51","-111.13","   8170","Gallatin","Madison Arm-Madison River (100200070202)","SNTL:347"
"SNTL","1968","MT","Frohner Meadow","","1967-October","2100-January","  46.44","-112.19","   6480","Jefferson","Lump Gulch (100301011305)","SNTL:487"
"SNTL","1968","MT","Madison Plateau","","1967-October","2100-January","  44.59","-111.12","   7750","Gallatin","Lower South Fork Madison River (100200070205)","SNTL:609"
"SNTL","1968","MT","N Fk Elk Creek","","1967-October","2100-January","  46.87","-113.28","   6250","Powell","Upper Elk Creek (170102031104)","SNTL:657"
"SNTL","1968","MT","Nez Perce Camp","","1967-October","2100-January","  45.73","-114.48","   5650","Ravalli","Nez Pierce Fork-Nelson Lake (170102050204)","SNTL:662"
"SNTL","1968","MT","Rocker Peak","","1967-October","2100-January","  46.36","-112.26","   8000","Jefferson","Cataract Creek (100200060302)","SNTL:722"
"SNTL","1968","MT","Rocky Boy","","1967-October","2100-January","  48.17","-109.65","   4700","Hill","Upper Beaver Creek (100500040101)","SNTL:917"
"SNTL","1968","MT","Saddle Mtn.","","1967-October","2100-January","  45.69","-113.97","   7940","Beaverhead","Camp Creek (170102050502)","SNTL:727"
"SNTL","1968","MT","Twelvemile Creek","","1967-October","2100-January","  46.14","-114.45","   5600","Ravalli","Lost Horse Creek (170102050601)","SNTL:835"
"SNTL","1968","MT","Twin Lakes","","1967-October","2100-January","  46.14","-114.51","   6400","Ravalli","Lost Horse Creek (170102050601)","SNTL:836"
"SNTL","1968","MT","Whiskey Creek","","1967-October","2100-January","  44.61","-111.15","   6800","Gallatin","Middle South Fork Madison River (100200070204)","SNTL:858"
"SNTL","1967","AK","Long Lake","","1966-October","2100-January","  58.19","-133.83","    850","Juneau","Long River (190102060104)","SNTL:1001"
"SNTL","1967","MT","Beaver Creek","","1966-October","2100-January","  44.95","-111.36","   7850","Gallatin","Upper Beaver Creek (100200070402)","SNTL:328"
"SNTL","1967","MT","Carrot Basin","","1966-October","2100-January","  44.96","-111.29","   9000","Gallatin","Sage Creek (100200080106)","SNTL:385"
"SNTL","1967","MT","Cashe Creek","","1966-October","1992-May","  45.08","-111.38","   7800","Park","Upper Taylor Creek (100200080107)","SNTL:253"
"SNTL","1967","MT","Crystal Lake","","1967-September","2100-January","  46.79","-109.51","   6050","Fergus","Big Rock Creek (100401030204)","SNTL:427"
"SNTL","1967","MT","Daly Creek","","1966-October","2100-January","  46.18","-113.85","   5780","Ravalli","Daly Creek (170102050901)","SNTL:433"
"SNTL","1967","MT","Deadman Creek","","1966-October","2100-January","  46.79","-110.68","   6450","Meagher","Headwaters Sheep Creek (100301030401)","SNTL:437"
"SNTL","1967","MT","Fisher Creek","","1966-October","2100-January","  45.06","-109.94","   9100","Park","Broadwater Creek-Clarks Fork Yellowstone River (100700060101)","SNTL:480"
"SNTL","1967","MT","Hoodoo Basin","","1966-October","2100-January","  46.98","-115.03","   6050","Mineral","Upper Trout Creek (170102040607)","SNTL:530"
"SNTL","1967","MT","Skalkaho Summit","","1966-October","2100-January","  46.24","-113.77","   7250","Granite","Middle West Fork Ross Creek (170102021003)","SNTL:760"
